,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,57044932,1652259679613,Thùng 48 Hộp Sữa Pediasure Vani 180ml,thung-48-hop-sua-pediasure-vani-180ml-p57044932,thung-48-hop-sua-pediasure-vani-180ml-p57044932.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.57044933&itm_medium=CPC&itm_source=tiki-reco&spid=57044933,,,,Pediasure,,1335000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 233 ASA (50k ₫)<br/>≈ 3.8% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",249000,16,5.0,279,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/34/96/bfacb0aaf67901513aee8e90c68e35e6.jpg,280,280,[],False,,False,1953,,,False,False,,,[],,,57044933,,,False,"{'text': 'Đã bán 2582', 'value': 2582}",,,1584000,True,"[{'impression_id': 'thanos-product-5Bn7ZtBvQ032JVPS', 'metadata': {'price': 1335000, 'rating_average': 5, 'reviews_count': 279, 'seller_product_id': 57044933}, 'checksum': ''}, {'impression_id': 'eec43349-dc46-4960-a587-d568e5619cd4', 'metadata': {'product_id': 1953, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2602,0,1
1,57044926,8659098991763,Thùng 48 Hộp Sữa Nước Abbott Pediasure Vani 110ml,thung-48-hop-sua-nuoc-abbott-pediasure-vani-110ml-p57044926,thung-48-hop-sua-nuoc-abbott-pediasure-vani-110ml-p57044926.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.57044927&itm_medium=CPC&itm_source=tiki-reco&spid=57044927,,,,Pediasure,,919000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 180 ASA (39k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",159000,15,5.0,302,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/3a/e0/cd/46d00e92cbd071b9f1b4cf8a1e3dc9ea.jpg,280,280,[],False,,False,1953,,,False,False,,,[],,,57044927,,,False,"{'text': 'Đã bán 2764', 'value': 2764}",,,1078000,True,"[{'impression_id': 'thanos-product-8FPcA5A67r5tPKEB', 'metadata': {'price': 919000, 'rating_average': 5, 'reviews_count': 302, 'seller_product_id': 57044927}, 'checksum': ''}, {'impression_id': '7052526c-2865-4894-8084-c0a16963416d', 'metadata': {'product_id': 1953, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2602,0,1
2,24030105,7377654184091,Sữa bột Abbott Pediasure 850g,sua-bot-abbott-pediasure-850g-p24030105,sua-bot-abbott-pediasure-850g-p24030105.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.24030106&itm_medium=CPC&itm_source=tiki-reco&spid=24030106,,,,Pediasure,,599000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 117 ASA (25k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",134282,18,4.8,528,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/5f/05/08/44fb87cf36768ac59afa5ecda64891bc.jpg,280,280,[],False,,False,1953,,,False,False,,,[],,,24030106,,,False,"{'text': 'Đã bán 5000+', 'value': 8055}",,,733282,True,"[{'impression_id': 'thanos-product-pKKV6rk1NtRD3ln7', 'metadata': {'price': 599000, 'rating_average': 4.8, 'reviews_count': 528, 'seller_product_id': 24030106}, 'checksum': ''}, {'impression_id': 'b82dd9a1-9be3-4015-8aee-6d012aa4174c', 'metadata': {'product_id': 1953, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2602,0,1
3,247427686,1148589326379,Sản Phẩm Dinh Dưỡng Nestlé NAN OPTIPRO PLUS 2 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ,san-pham-dinh-duong-nestle-nan-optipro-plus-2-800g-lon-p247427686,san-pham-dinh-duong-nestle-nan-optipro-plus-2-800g-lon-p247427686.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.247427689&itm_medium=CPC&itm_source=tiki-reco&spid=247427689,,,,NAN,,469000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 12 ASA (3k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,5.0,32,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/53/d6/e8/22c04179bf2a7bf451ed54513e047bfa.png,280,280,[],False,,False,1951,,,False,False,,,[],,,247427689,,,False,"{'text': 'Đã bán 902', 'value': 902}",,,469000,True,"[{'impression_id': 'thanos-product-jDQBQbcSWOcTnAiV', 'metadata': {'price': 469000, 'rating_average': 5, 'reviews_count': 32, 'seller_product_id': 247427689}, 'checksum': ''}, {'impression_id': 'b56a911c-7199-4cce-b64f-74b1475f5142', 'metadata': {'product_id': 1951, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2601,0,1
4,24028050,5033755115083,Sữa bột Abbott Pediasure 1.6kg,sua-bot-abbott-pediasure-1-6kg-p24028050,sua-bot-abbott-pediasure-1-6kg-p24028050.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.24028051&itm_medium=CPC&itm_source=tiki-reco&spid=24028051,,,,Pediasure,,1005000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 196 ASA (43k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",233569,19,4.8,717,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/c6/eb/9d/948b7899d20b12aed86c96cfc0f184d1.jpg,280,280,[],False,,False,1953,,,False,False,,,[],,,24028051,,,False,"{'text': 'Đã bán 5000+', 'value': 12707}",,,1238569,True,"[{'impression_id': 'thanos-product-2ytt9yRFXCHpuIp3', 'metadata': {'price': 1005000, 'rating_average': 4.8, 'reviews_count': 717, 'seller_product_id': 24028051}, 'checksum': ''}, {'impression_id': 'd5b40748-24ba-4867-b958-1424577c0d45', 'metadata': {'product_id': 1953, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2602,0,1
5,573673,8001921276613,Thùng 48 Hộp Sữa Nước Abbott Grow Gold 180ml,thung-48-hop-sua-nuoc-abbott-grow-gold-180ml-p573673,thung-48-hop-sua-nuoc-abbott-grow-gold-180ml-p573673.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.309744&itm_medium=CPC&itm_source=tiki-reco&spid=309744,,,,Grow,,719000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 141 ASA (31k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",165000,19,5.0,485,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/19/b2/53/5d2f36c3475906a316c565b808ac4bb7.png,280,280,[],False,,False,2135,,,False,False,,,[],,,309744,,,False,"{'text': 'Đã bán 4316', 'value': 4316}",,,884000,True,"[{'impression_id': 'thanos-product-Q6kV8jg5NW23rMsX', 'metadata': {'price': 719000, 'rating_average': 5, 'reviews_count': 485, 'seller_product_id': 309744}, 'checksum': ''}, {'impression_id': '0e6bbdcc-cf45-482d-90dd-eb9a829b5563', 'metadata': {'product_id': 2135, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/10419,0,1
6,97551646,4683410937779,Bộ 2 Lon Sữa Bột Friso Gold 4 1400g Dành Cho Trẻ Từ 2 - 6 Tuổi + Tặng Lon Sữa Friso Gold 4 380g,bo-2-hop-sua-bot-friso-gold-4-1400g-danh-cho-tre-tu-2-6-tuoi-tang-lon-sua-friso-gold-4-380g-p97551646,bo-2-hop-sua-bot-friso-gold-4-1400g-danh-cho-tre-tu-2-6-tuoi-tang-lon-sua-friso-gold-4-380g-p97551646.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.97551647&itm_medium=CPC&itm_source=tiki-reco&spid=97551647,,,,Friso,,1359000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 34 ASA (7k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",411000,23,4.8,1150,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/fa/d0/13/ff03894077d7b5af2c000807be645d33.png,280,280,[],False,,False,1953,,,False,False,,,[],,,97551647,,,False,"{'text': 'Đã bán 5000+', 'value': 26362}",,,1770000,True,"[{'impression_id': 'thanos-product-lVsNhW9o7SkkDnIe', 'metadata': {'price': 1359000, 'rating_average': 4.8, 'reviews_count': 1150, 'seller_product_id': 97551647}, 'checksum': ''}, {'impression_id': 'e4e437cb-464d-46df-b1ef-136f0b4705e9', 'metadata': {'product_id': 1953, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2602,0,1
7,249083735,7461457400290, Hộp Ống Uống Canxi BobBaby Hỗ Trợ Giảm Nguy Cơ Thiếu Canxi Cho Bé 20 Ống/Hộp,hop-ong-uong-canxi-bobbaby-ho-tro-giam-nguy-co-thieu-canxi-cho-be-20-ong-hop-p249083735,hop-ong-uong-canxi-bobbaby-ho-tro-giam-nguy-co-thieu-canxi-cho-be-20-ong-hop-p249083735.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.249083736&itm_medium=CPC&itm_source=tiki-reco&spid=249083736,,,,Dân Khang,,120000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 3 ASA (651 ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",36000,23,5.0,29,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d5/fc/a2/a71dbdb4c06c3971a99a8b4c9b7474a6.png,280,280,[],False,,False,2143,,,False,False,,,[],,,249083736,,,False,"{'text': 'Đã bán 33', 'value': 33}",,,156000,True,"[{'impression_id': 'thanos-product-onAT8GLOWC65lTpZ', 'metadata': {'price': 120000, 'rating_average': 5, 'reviews_count': 29, 'seller_product_id': 249083736}, 'checksum': ''}, {'impression_id': '49cd0f7d-8a21-4b95-ab15-b783a2e5d475', 'metadata': {'product_id': 2143, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/10423,0,1178
8,135328953,2869363166428,Sản phẩm dinh dưỡng công thức Nestlé NAN SUPREMEPRO 2 (Lon 800g),san-pham-dinh-duong-cong-thuc-nestle-nan-supremepro-2-lon-800g-p135328953,san-pham-dinh-duong-cong-thuc-nestle-nan-supremepro-2-lon-800g-p135328953.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.135328954&itm_medium=CPC&itm_source=tiki-reco&spid=135328954,,,,NAN,,539000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 13 ASA (3k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",0,0,4.7,264,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/c6/5a/2a/e15380f686c735b7eb5c4272c8e4a2cd.jpg,280,280,[],False,,False,1951,,,False,False,,,[],,,135328954,,,False,"{'text': 'Đã bán 5000+', 'value': 5508}",,,539000,True,"[{'impression_id': 'thanos-product-WS3Vv3QCW4ytd5AT', 'metadata': {'price': 539000, 'rating_average': 4.7, 'reviews_count': 264, 'seller_product_id': 135328954}, 'checksum': ''}, {'impression_id': '3f3f8b84-d7e4-4b6b-8d4c-e44eafdd08cc', 'metadata': {'product_id': 1951, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2601,0,1
9,173126855,8403828175627,"Sản phẩm dinh dưỡng y học Nutren Junior cho trẻ từ 1-12 tuổi 850g tăng trưởng 3 chuẩn: Thế chất, Đề kháng, Tư duy - Tặng gối ôm hươu cao cổ",sua-dinh-duong-nutren-junior-850g-tang-goi-om-huou-cao-co-bao-bi-moi-p173126855,sua-dinh-duong-nutren-junior-850g-tang-goi-om-huou-cao-co-bao-bi-moi-p173126855.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.173126858&itm_medium=CPC&itm_source=tiki-reco&spid=173126858,,,,Nutren,,542000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 14 ASA (3k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",92400,15,5.0,210,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b8/01/11/237424e4e3603dba6456afe8c4e8567c.jpg,280,280,[],False,,False,1953,,,False,False,,,[],,,173126858,,,False,"{'text': 'Đã bán 5000+', 'value': 8629}",,,634400,True,"[{'impression_id': 'thanos-product-p24vZ5x7Oyvjghl2', 'metadata': {'price': 542000, 'rating_average': 5, 'reviews_count': 210, 'seller_product_id': 173126858}, 'checksum': ''}, {'impression_id': 'deaa07e0-5586-4bf9-9313-8dc09b27f587', 'metadata': {'product_id': 1953, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/2549/8339/2600/2602,0,1
