,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,video_url,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id
0,171564906,8765281565821,"Dầu gội chống gàu, sạch nấm Selsun 250ml",dau-goi-chong-gau-sach-nam-selsun-250ml-p171564906,dau-goi-chong-gau-sach-nam-selsun-250ml-p171564906.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.171564907&itm_medium=CPC&itm_source=tiki-reco&spid=171564907,,,,Selsun,,187000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 37 ASA (8k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",31000,14,4.8,347,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/24/1c/4a/bea7acd4c5531ac55e3e1f12be3657d0.jpg,280,280,[],False,,False,853,,,False,False,,,[],,,171564907,,,False,"{'text': 'Đã bán 4211', 'value': 4211}",,,218000,True,"[{'impression_id': 'thanos-product-YP34NebQduDafEMK', 'metadata': {'price': 187000, 'rating_average': 4.8, 'reviews_count': 347, 'seller_product_id': 171564907}, 'checksum': ''}, {'impression_id': '12e29a95-79fa-41a1-8ed9-5b8577125fb9', 'metadata': {'product_id': 853, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/1613,0,1
1,22254660,6574261437195,"Combo Dầu Gội, Dầu Xả TRESEMME Keratin Smooth Dưỡng tóc khô xơ rối Công thức chuẩn salon Hydrolyzed Keratin trong Dầu Gội và dầu Xả dưỡng Tóc Vào Nếp Suôn Mượt 640g, 620g",combo-dau-goi--dau-xa-tresemme-keratin-smooth-duong-toc-kho-xo-roi-cong-thuc-chuan-salon-hydrolyzed-keratin-trong-dau-goi-va-dau-xa-duong-toc-vao-nep-suon-muot-640g--620g-p22254660,combo-dau-goi--dau-xa-tresemme-keratin-smooth-duong-toc-kho-xo-roi-cong-thuc-chuan-salon-hydrolyzed-keratin-trong-dau-goi-va-dau-xa-duong-toc-vao-nep-suon-muot-640g--620g-p22254660.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.22254661&itm_medium=CPC&itm_source=tiki-reco&spid=22254661,,,,TRESemmé,,305000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 8 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",91000,23,4.7,2450,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/f2/ab/21/61798ecc3da38c5f6ed090bfceda17a4.jpg,280,280,[],False,,False,1005,,,False,False,,,[],,,22254661,,,False,"{'text': 'Đã bán 5000+', 'value': 23758}",https://salt.tikicdn.com/ts/video/65/4c/fe/4facfbed367b34abbd5c2001bf219a85.mp4,,396000,True,"[{'impression_id': 'thanos-product-RdYWjLRUAjUn2nQS', 'metadata': {'price': 305000, 'rating_average': 4.7, 'reviews_count': 2450, 'seller_product_id': 22254661}, 'checksum': ''}, {'impression_id': '652534cd-44db-480f-91c6-adcead33d079', 'metadata': {'product_id': 1005, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/8223,0,1
2,36987686,6979940826107,"Dầu gội dược liệu Antisol - Ngăn ngừa nấm da đầu, gàu, ngứa da đầu",dau-goi-duoc-lieu-ngan-ngua-gau-nam-da-dau-antisol-p36987686,dau-goi-duoc-lieu-ngan-ngua-gau-nam-da-dau-antisol-p36987686.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.58847628&itm_medium=CPC&itm_source=tiki-reco&spid=58847628,,,,iCare Pharma,,283000,0,[],"[{'code': 'trusted_store', 'icon': 'https://salt.tikicdn.com/ts/upload/e8/6a/e3/7f998ef1eb5ab0536aac53f02a698c8a.png', 'icon_height': 14, 'icon_width': 54, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 4, ngày 21/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 7 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",37000,12,4.6,492,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/3e/36/ba/f0fab8c1d586037bb05d7f47974a56b2.jpg,280,280,[],False,,False,853,,,False,False,,,[],,,58847628,,,False,"{'text': 'Đã bán 2500', 'value': 2500}",https://salt.tikicdn.com/ts/video/dc/2f/1d/827c1df0af938b71b89c9ee83fb84c35.mp4,,320000,True,"[{'impression_id': 'thanos-product-agWIwd6OwOwNvqT4', 'metadata': {'price': 283000, 'rating_average': 4.6, 'reviews_count': 492, 'seller_product_id': 58847628}, 'checksum': ''}, {'impression_id': '9037046b-9262-4e9e-b60d-00ce5231025c', 'metadata': {'product_id': 853, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/1613,0,112422
3,632680,5440086254136,Dầu Gội Chống Gàu Selsun (100ml),dau-goi-chong-gau-selsun-100ml-p632680,dau-goi-chong-gau-selsun-100ml-p632680.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.10862721&itm_medium=CPC&itm_source=tiki-reco&spid=10862721,,,,Selsun,,85500,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 17 ASA (4k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",13500,14,4.8,1506,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/1a/3d/5b/c2b8efd5482dccfd5f5a24766757d80b.jpg,280,280,[],False,,False,853,,,False,False,,,[],,,10862721,,,False,"{'text': 'Đã bán 5000+', 'value': 151599}",,,99000,True,"[{'impression_id': 'thanos-product-Qd9RJDZJyhlnHH68', 'metadata': {'price': 85500, 'rating_average': 4.8, 'reviews_count': 1506, 'seller_product_id': 10862721}, 'checksum': ''}, {'impression_id': 'f553a41e-aaff-4942-be14-cdd86cf8a3ac', 'metadata': {'product_id': 853, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/1613,0,1
4,53507455,2329963882989,Bộ Đôi TSUBAKI Phục Hồi Ngăn Rụng Tóc (490ml/chai),bo-doi-tsubaki-phuc-hoi-ngan-rung-toc-490ml-chai-p53507455,bo-doi-tsubaki-phuc-hoi-ngan-rung-toc-490ml-chai-p53507455.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.53507456&itm_medium=CPC&itm_source=tiki-reco&spid=53507456,,,,TSUBAKI,,298000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 7 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",132000,31,4.8,2047,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/db/d6/58/1310a863bdbcc366f8bee10f05a377d1.jpg,280,280,[],False,,False,1005,,,False,False,,,[],,,53507456,,,False,"{'text': 'Đã bán 5000+', 'value': 14876}",,,430000,True,"[{'impression_id': 'thanos-product-kNDEG4TixkMeOukQ', 'metadata': {'price': 298000, 'rating_average': 4.8, 'reviews_count': 2047, 'seller_product_id': 53507456}, 'checksum': ''}, {'impression_id': 'fec6255a-c1dc-4cca-8518-cd2b9eb8c9c4', 'metadata': {'product_id': 1005, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/8223,0,111467
5,60684152,7829210339334,"Dầu Gội Hà Thủ Ô 2in1 Dành Riêng Cho TÓC BẠC Và RỤNG TÓC Cocayhoala Chai Lớn 450g Tiết Kiệm Hơn 1,5 lần",dau-goi-ha-thu-o-2in1-danh-rieng-cho-toc-bac-va-rung-toc-cocayhoala-chai-lon-450g-tiet-kiem-hon-1-5-lan-p60684152,dau-goi-ha-thu-o-2in1-danh-rieng-cho-toc-bac-va-rung-toc-cocayhoala-chai-lon-450g-tiet-kiem-hon-1-5-lan-p60684152.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.60684153&itm_medium=CPC&itm_source=tiki-reco&spid=60684153,,,,COCAYHOALA,,270000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 7 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",100000,27,4.6,437,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/51/2f/77/c7aee0f9a35a388ab94ffb6e52186ade.jpg,280,280,[],False,,False,853,,,False,False,,,[],,,60684153,,,False,"{'text': 'Đã bán 1914', 'value': 1914}",https://salt.tikicdn.com/ts/video/f0/03/94/24d41f74cf3eec4c1f99a4270492688f.mp4,,370000,True,"[{'impression_id': 'thanos-product-rM4OXwa2yOtq91Iv', 'metadata': {'price': 270000, 'rating_average': 4.6, 'reviews_count': 437, 'seller_product_id': 60684153}, 'checksum': ''}, {'impression_id': 'cbb09e24-4eaa-427f-99b1-e887c44b8198', 'metadata': {'product_id': 853, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/1613,0,1763
6,460539,8934868102380,"Dầu Gội Đầu Clear Men Cool Sport Dầu Gội Bạc Hà Mát Lạnh Cực Đỉnh Suốt Ngày Dài Đánh Bay Gàu, Ngứa & Vi Khuẩn 900g",dau-goi-dau-clear-men-cool-sport-dau-goi-bac-ha-mat-lanh-cuc-dinh-suot-ngay-dai-danh-bay-gau-ngua-vi-khuan-900g-p460539,dau-goi-dau-clear-men-cool-sport-dau-goi-bac-ha-mat-lanh-cuc-dinh-suot-ngay-dai-danh-bay-gau-ngua-vi-khuan-900g-p460539.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.168980&itm_medium=CPC&itm_source=tiki-reco&spid=168980,,,,Clear,,192000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 2, ngày 19/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 5 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",37000,16,4.7,1348,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/26/f8/c0/42d80f3e0e527528ae9916f1a8b91655.jpg,280,280,[],False,,False,853,,,False,False,,,[],,,168980,,,False,"{'text': 'Đã bán 5000+', 'value': 11484}",https://salt.tikicdn.com/ts/video/e9/9d/ee/0dc0dfae31d8d8c02472bdc2d9ad9f7a.mp4,,229000,True,"[{'impression_id': 'thanos-product-auySZ73GjCEn6rnN', 'metadata': {'price': 192000, 'rating_average': 4.7, 'reviews_count': 1348, 'seller_product_id': 168980}, 'checksum': ''}, {'impression_id': 'ebe1ab75-5094-488d-b10d-efc2fde6aa04', 'metadata': {'product_id': 853, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/1613,0,1
7,73574991,9522234636363,"Dego Pharma - Dầu gội sạch vảy gàu mảng trắng, hết ngứa chiết xuất thiên nhiên từ vỏ cây Zizyphus, sản xuất theo tiêu chuẩn và dưới sự giám sát của công ty dược phẩm Châu Âu (80ml)",dau-goi-ngan-ngua-gau-het-ngua-dego-pharma-p73574991,dau-goi-ngan-ngua-gau-het-ngua-dego-pharma-p73574991.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.73574992&itm_medium=CPC&itm_source=tiki-reco&spid=73574992,,,,DEGO PHARMA,,236000,0,[],"[{'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 3, ngày 20/06', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/d6/51/17/cde193f3d0f6da18147a739247c95c93.png', 'icon_height': 20, 'icon_width': 53, 'placement': 'bottom', 'type': 'asa_reward'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 46 ASA (10k ₫)<br/>≈ 4.2% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",154000,39,4.8,178,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/7e/b1/cd/03a6a1eef3e06e4f6fbf4b2067d56f77.png,280,280,[],False,,False,853,,,False,False,,,[],,,73574992,,,False,"{'text': 'Đã bán 909', 'value': 909}",https://salt.tikicdn.com/ts/video/ba/5e/76/9fd5b0d93591f1bc7e385271c001e072.mp4,,390000,True,"[{'impression_id': 'thanos-product-MMheQllr1Ui031AB', 'metadata': {'price': 236000, 'rating_average': 4.8, 'reviews_count': 178, 'seller_product_id': 73574992}, 'checksum': ''}, {'impression_id': '9ac7b7d4-2e4e-4dbf-bb32-680258b5b85a', 'metadata': {'product_id': 853, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/1613,0,153940
8,66640235,7825538462099,Combo Dove Phục Hồi Hư Tổn Dầu Gội 640g + Kem Xả 610g,combo-dau-goi-kem-xa-dove-phuc-hoi-toc-phuc-hoi-hu-ton-cong-nghe-dinh-vi-hu-ton-giup-toc-suon-muot-khoe-dep-320g-p66640235,combo-dau-goi-kem-xa-dove-phuc-hoi-toc-phuc-hoi-hu-ton-cong-nghe-dinh-vi-hu-ton-giup-toc-suon-muot-khoe-dep-320g-p66640235.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.66640236&itm_medium=CPC&itm_source=tiki-reco&spid=66640236,,,,Dove,,232000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 6 ASA (1k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",47000,17,4.8,1308,0,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/40/e3/b6/bdd4ff7940c4d06aa793dfa4fd2efaf4.jpg,280,280,[],False,,False,1005,,,False,False,,,[],,,66640236,,,False,"{'text': 'Đã bán 5000+', 'value': 26660}",https://salt.tikicdn.com/ts/video/ed/6b/f1/d35f1a2bd5b820b86ec9e802fa9e72da.mp4,,279000,True,"[{'impression_id': 'thanos-product-0lKsOL0oRYljZemV', 'metadata': {'price': 232000, 'rating_average': 4.8, 'reviews_count': 1308, 'seller_product_id': 66640236}, 'checksum': ''}, {'impression_id': 'c5e31f1d-a0c8-4946-a39a-a1f14201e0ca', 'metadata': {'product_id': 1005, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/8223,0,1
9,192451067,4121162067695,Combo 2 Dầu Gội TSUBAKI Phục Hồi Ngăn Rụng Tóc và Dầu Xả TSUBAKI Phục Hồi Ngăn Rụng Tóc (490ml/chai),combo-2-dau-goi-tsubaki-phuc-hoi-ngan-rung-toc-va-dau-xa-tsubaki-phuc-hoi-ngan-rung-toc-p192451067,combo-2-dau-goi-tsubaki-phuc-hoi-ngan-rung-toc-va-dau-xa-tsubaki-phuc-hoi-ngan-rung-toc-p192451067.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202306150600_MD_batched_PID.192451068&itm_medium=CPC&itm_source=tiki-reco&spid=192451068,,,,TSUBAKI,,419000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/upload/bf/5b/b9/f54345d674f86ab1bc3f8a68e91ee049.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2H', 'type': 'delivery_info_badge'}, {'code': 'official_store', 'icon': 'https://salt.tikicdn.com/ts/upload/5d/4c/f7/0261315e75127c2ff73efd7a1f1ffdf2.png', 'icon_height': 14, 'icon_width': 68, 'placement': 'top', 'type': 'icon_badge'}, {'code': 'freegift_items', 'placement': 'under_rating', 'text': 'Quà tặng', 'type': 'under_rating_text'}, {'code': 'asa_reward_html_badge', 'placement': 'under_price', 'text': 'Tặng tới 10 ASA (2k ₫)<br/>≈ 0.5% hoàn tiền', 'text_color': '#808089', 'type': 'asa_reward_html'}]",226000,35,4.8,84,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/2f/93/fe/31500ec7d3f4384a11fdd2dd3baa5381.jpg,280,280,[],False,,False,1005,,,False,False,,,[],,,192451068,,,False,"{'text': 'Đã bán 2280', 'value': 2280}",,,645000,True,"[{'impression_id': 'thanos-product-VHrZR1Yx4bV1Hsxm', 'metadata': {'price': 419000, 'rating_average': 4.8, 'reviews_count': 84, 'seller_product_id': 192451068}, 'checksum': ''}, {'impression_id': '2e6809c8-dbed-4deb-881e-7c7779f036a8', 'metadata': {'product_id': 1005, 'service_name': 'reco', 'version': 'p_category_mpid_listing_v1_202306150600'}, 'checksum': ''}]",,1,1/2/1520/1591/8222/8223,0,111467
